DAY & DATE,TIME,LEVEL,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG
"Tuesday, April 7, 2026",07:00-09:00,100 EHS,EHP 111,HUMAN AND THE ENVIRONMENT,125,001-060,SLT HSE 1,FEHE,EHSE,
"Tuesday, April 7, 2026",07:00-09:00,100 EHS,EHP 111,HUMAN AND THE ENVIRONMENT,125,061 - END,SLT HSE 2,FEHE,EHSE,
"Tuesday, April 7, 2026",07:00-09:00,300 EHS,EHP354,DRINKING WATER TREATMENT,129,001-090,LT3,FEHE,EHSE,
"Tuesday, April 7, 2026",07:00-09:00,300 EHS,EHP354,DRINKING WATER TREATMENT,129,091 - END,GYM ,FEHE,EHSE,
"Tuesday, April 7, 2026",07:00-09:00,100 OHS,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,230,001-130,SPTS COM,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 OHS,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,230,131-END,OLD LAB,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 PHS,PHS111M,HUMAN ANATOMY & PHYSIOLOGY,126,HP 001-100,NLB 1,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 PHS,PHS111M,HUMAN ANATOMY & PHYSIOLOGY,125,DC 001-100,NLB 2,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 PHS,PHS111M,HUMAN ANATOMY & PHYSIOLOGY,121,N 001 - 100 ,NLB 3,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 PHS,PHS111M,HUMAN ANATOMY & PHYSIOLOGY,26,HP 101-END,NLB 4,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 PHS,PHS111M,HUMAN ANATOMY & PHYSIOLOGY,25,DC101-END,NLB 4,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,100 PHS,PHS111M,HUMAN ANATOMY & PHYSIOLOGY,21,N 101- END,NLB 4,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,200 EHS,EHP235,MEAT SCIENCE AND ABATTOIR MGT,235,001-120,CHAPEL,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,200 EHS,EHP235,MEAT SCIENCE AND ABATTOIR MGT,235,121-180,EXT 1,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,200 EHS,EHP235,MEAT SCIENCE AND ABATTOIR MGT,235,181 - END,EXT 2,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,200 OHS,OHS 231,EVIRONMENTAL MANAGEMENT SYSTEMS,300,001-120,OLD LIB,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,200 OHS,OHS 231,EVIRONMENTAL MANAGEMENT SYSTEMS,300,121-240,LBSF ,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,200 OHS,OHS 231,EVIRONMENTAL MANAGEMENT SYSTEMS,300,241-END,LBRR,FEHE,PHE,
"Tuesday, April 7, 2026",07:00-09:00,400 ABM,AGB471,MANAGERIAL ECONOMICS,60,001-END,LGF1,FAE,,
"Tuesday, April 7, 2026",07:00-09:00,100 AGR,AGR114,ANATOMY & PHYSIOLOGY OF FARM ANIMALS,155,ALL,NLT,FAE,,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,001-120,NLB 1,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,121-240,NLB 2 ,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,241-360,NLB 3 ,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,361-480,NLB 4,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,481-600,LBSF ,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,601 – 660,LBRR,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,661 - 720,LGF1 ,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS &FINANCING,760,721-END,EXT. II,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,200 PHS,PHS231 ,COMMUNITY HEALTH,410,HP - 001-140,SPTS COMP,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,200 PHS,PHS231 ,COMMUNITY HEALTH,410,HP - 121-END,GYM,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,200 PHS,PHS231 ,COMMUNITY HEALTH,410,DC – 001 - END,OLD SC LAB,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,200 PHS,PHS231,COMMUNITY HEALTH,410,NT – 001 - 060,SLT HSE 1,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,200 PHS,PHS231,COMMUNITY HEALTH,410,          061-END,SLT HSE 2,FEHE,PHE,
"Tuesday, April 7, 2026",10:00–12:00,100  JHS ,JBSo 115,"Foundations of Social Studies, TVET",300,001-100 ,OLD LIB ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 JHS ,JBSo 115,"Foundations of Social Studies, TVET",,101-200 ,CHAPEL ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 JHS ,JBSo 115,"Foundations of Social Studies, TVET",,201-END ,LBFF   ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 UP ,PBSo 115,"Foundations of Social Studies, TVET",60,001-END ,EXT 1 ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 EG ,ECSo 115,"Foundations of Social Studies, TVET",80,001-END  ,LT3,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,"100 Diploma ,EG, UP & JHS",GDC 115,Communication Skills ,160,001-END ,NLT ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 ENG ,LNG 111,Introduction to Linguistics ,90,001-END ,LBA ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 GHA ,LNG111,,30,001-END  ,LGF1 ,FEGS,,
"Tuesday, April 7, 2026",10:00–12:00,100 FRE ,FRE 111,French Language Structure and U,5,001-END ,EXT 1 ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,001-120,NLB 1,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,121-240,NLB 2,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,241-360,NLB 3,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,361-480,NLB 4,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,481-620,SPTS COM,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,621-730,OLD LIB,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,731-850,LBFF,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,751-970,LBSF,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,971-1080,OLD LAB,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 PHS,PHS 355,EPIDEMIOLOGICAL METHOD,1200,1081-END,SLT HSE 2,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,300 OHS,OHS 351,SAFETY FOR DISASTER MANGEMENT AND EMERGENCY RESPONSE,70,001-END,SLT HSE 1,FEHE,,
"Tuesday, April 7, 2026",13:00-15:00,200 JHS ,JBEn 231,English Semantics ,190,001-150,NLT ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,200 JHS ,JBEn 231,English Semantics ,190,151-END,GYM ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,200 ENG ,LNG 231,English Semantics ,90,001-END ,CHAPEL ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,"200 Diploma ,EG, UP & JHS",DEL 231,Introduction to English Semantics ,150,001-100,LBA,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,"200 Diploma ,EG, UP & JHS",DEL 231,Introduction to English Semantics ,150,101-END, LBRR ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,200 JHS ,JBMa 231,Theories in the Learning of Mathe,100,001-END ,LT3 ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,200 UP ,PBLa 231,Introduction to English Language ,60,001-END ,EXT.1 ,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,200 EG ,ECEN 2,Introduction to English ,70,001-END ,EXT.2,FEGS,,
"Tuesday, April 7, 2026",13:00-15:00,100 GHA,LNG111,Intro. To Linguistics ,30,001-END ,LGF1 ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,100 NRM,NRM111,INTRODUCTION TO FORESTRY & AGRICULTURE ,95,001-END,LBA ,FAE,,
"Tuesday, April 7, 2026",16:00-18:00,100 ABM,AGB111,FOUNDATION OF ENTREPRENEURSHIP ,60,001-END,LGFI ,FAE,,
"Tuesday, April 7, 2026",16:00-18:00,100 ATI ,ATI112  ,Technical Drawing ,4,001-END,LBA  ,FAE,,
"Tuesday, April 7, 2026",16:00-18:00,200 ABM,AGB231,PRINC. OF AGRIBUSINESS MGT ,47,001-END,LBA ,FAE,,
"Tuesday, April 7, 2026",16:00-18:00,100 PHY,PHY 111,MECHANICS AND PHYSICAL PROPERTIES OF MATTER ,45,001-END,NLB 1 ,FEHE,PHE,
"Tuesday, April 7, 2026",16:00-18:00,100 GSC,GSC 114,MECHANICS AND PROPERTIES OF MATTER,85,001-END,NLB 2,FSE,,
"Tuesday, April 7, 2026",16:00-18:00,300 JHS ,JBMa  3,Teaching and Assessing Mathematics (Intermediate) ,185,001-120,CHAPEL ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,300 JHS ,JBMa  3,Teaching and Assessing Mathematics (Intermediate) ,185,121-END,LT3 ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,300 JHS ,JBEn 35,Sociolinguistics ,,001-END,LBFF ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,300 UP ,PBMa 3,Teaching and Assessing Mathematics for Upper Primary (Intermediate) ,60,001-END,EXT I ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,300 EG ,ECMa 3,Teaching and Assessing Numeracy II for Early ,90,001-END,OLD LIB ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,300 ENG,LNG 351,GradeIntermediate Morphology and Syntax   ,30,001-END,EXT. 2 ,FEGS,,
"Tuesday, April 7, 2026",16:00-18:00,100 PEH,PEH 111,Physical Fitness for Healthy Living ,30,001-END,LT 3 ,FSE,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 EHS,EHP231,PRINCIPLES OF HOUSING AND BUILDING CONSTRUCTION,240,001-140,SPTS COMP,FEHE,EHSE,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 EHS,EHP231,PRINCIPLES OF HOUSING AND BUILDING CONSTRUCTION,240,141-END,OLD LAB,FEHE,EHSE,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,400 OHS,OHS 475,WORKPLACE SAFETY AUDIT INSPECTION ANDMONITORING,45,001-END,GYM,FEHE,PHE,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 BIO ,EDC 231M ,SPECIAL EDUCATION ,190,001-100,NLB 1,FSE,BIO,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 BIO ,EDC 231M ,SPECIAL EDUCATION ,190,101-END,NLB 2,FSE,BIO,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 PHY,EDC 231M ,SPECIAL EDUCATION ,4O,001-END,NLB3,FEHE,PHE,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 CHE,EDC 231M ,SPECIAL EDUCATION ,45,001-END,NLB3,FSE,CHE,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 MAT ,EDC 231M ,SPECIAL EDUCATION ,100,001-END,NLB4,FSE,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 ISC ,EDC 231M ,SPECIAL EDUCATION ,110,001-END,OLD LIB,FSE,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 AGR ,EDC 231M ,SPECIAL EDUCATION ,220,001-170,NLT,FAE,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 AGR ,EDC 231M ,SPECIAL EDUCATION ,,171-END,LBA,FAE,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 ATI ,EDC 231M ,SPECIAL EDUCATION ,20,001-END,LBA,FAE,ENG,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,200 ENG ,EDC 231M ,SPECIAL EDUCATION ,90,001-END,LBFF,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,100 JHS,JBP111,Foundations of Education in Ghana ,300,001-100,LBSF,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,100 JHS,JBP112,Foundations of Education in Ghana ,301,101-200,CHAPEL,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,100 JHS,JBP113,Foundations of Education in Ghana ,302,201-END,EXT 1,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,100 UP ,PBP 111,Foundations of Education in Ghana ,60,001-END,EXT 2,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,100 EG ,ECP 111,Foundations of Education in Ghana ,80,001-END,LBRR,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,"100 Diploma ,EG, UP & JHS","ECP,PBP,&JBP111",Foundations of Education in Ghana ,160,001-100,LTE,FEGS,,
"WEDNESDAY, APRIL 8, 2026",07:00-09:00,"100 Diploma ,EG, UP & JHS","ECP,PBP,&JBP112",Foundations of Education in Ghana ,161,101-END,LGFI,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,100 NUT ,NUD 11,FUNCTIONAL CELL BIOLOGY ,45,001-END,NLB 1,FSE,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 NUT ,NUD233,PRINCIPLES OF GENETICS AND EVOLUTION ,35,001-END,NLB 1,FSE,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 JHS,JBL 233,"Teaching, Speaking and Listening for JHS",450,001-100,NLB2,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 JHS,JBL 233,"Teaching, Speaking and Listening for JHS",450,101-200,NLB 3,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 JHS,JBL 233,"Teaching, Speaking and Listening for JHS",450,201-300,NLB4,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 JHS,JBL 233,"Teaching, Speaking and Listening for JHS",450,300-END,NLT,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 UP ,PBLI 2,"Literacy (Teaching, Speaking and Listening) ",60,001-END,LBRR,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,200 EG ,JBL 233,"Teaching, Speaking and Listening for JHS ",70,001-END,LBA,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,"200 Diploma ,EG, UP & JHS",GRC ,Entrepreneurship  ,150,001-120,SPTS COMP,FEGS,,
"WEDNESDAY, APRIL 8, 2026",10:00–12:00,"200 Diploma ,EG, UP & JHS",GRC ,Entrepreneurship  ,150,121-END,GYM,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,200 OHS,OHS232,ERGONOMICS,300,001-140,SPTS COMP,FEHE,PHE,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,200 OHS,OHS232,ERGONOMICS,300,141-240,0LD LAB,FEHE,PHE,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,200 OHS,OHS232,ERGONOMICS,300,241-END,SLT HSE1,FEHE,PHE,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00, 300 JHS ,JBP 352,Guidance and Counselling for JHS ,350,001-100,CHAPEL,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00, 300 JHS ,JBP 352,Guidance and Counselling for JHS ,350,101-200,LT3,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00, 300 JHS ,JBP 352,Guidance and Counselling for JHS ,350,201-300,0LD LIB,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00, 300 JHS ,JBP 352,Guidance and Counselling for JHS ,350,301-END,EXT 1,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 UP ,PBP 351,Guidance and Counselling for Upper Primary ,80,001-020,EXT 1,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 UP ,PBP 351,Guidance and Counselling for Upper Primary ,80,021-END,EXT 2,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 EG ,ECP 352,Guidance and Counselling for Early Grade  ,90,001-END,LBFF,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 ENG ,EDC 351 ,Guidance and Counselling ,80,001-END,LBA,FEGS,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 SC ,EDC 351 ,GUIDANCE & COUNSELLING ,131,001-100,NLB 1,FSE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 SC ,EDC 351 ,GUIDANCE & COUNSELLING ,131,101-END,NLB 2,FSE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 PHY ,EDC 351 ,GUIDANCE & COUNSELLING ,35,001-END,NLB 2,FEHE,PHE,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 CHE ,EDC 351,GUIDANCE & COUNSELLING ,40,001- END,NLB 2,FSE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 BIO ,EDC 351,GUIDANCE & COUNSELLING ,140,001-120,NLB3,FSE,BIO,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 BIO ,EDC 351,GUIDANCE & COUNSELLING ,140,121-END,NLB3,FSE,BIO,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 MAT ,EDC 351,GUIDANCE & COUNSELLING ,95,001-END,NLB 4,FSE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 AGR ,EDC 351,GUIDANCE & COUNSELLING ,174,001-END,NLT,FAE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 NRM ,EDC 351,GUIDANCE & COUNSELLING ,124,001-END,LBSF,FAE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 ATI ,EDC 351,GUIDANCE & COUNSELLING ,55,001-END,LGFI,FAE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 ATI ,EDC 351,GUIDANCE & COUNSELLING ,9,001-END,LBFF,FAE,,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 EHS ,EDC 351,GUIDANCE & COUNSELLING ,129,001-080,SLT HSE 2,FEHE,EHSE,
"WEDNESDAY, APRIL 8, 2026",13:00-15:00,300 EHS ,EDC 351,GUIDANCE & COUNSELLING ,129,081-END,LBRR,FEHE,EHSE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,001-100,NLB 1,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,101-200,NLB 2,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,201-300,NLB3,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,301-400,NLB 4,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,401-500,CHAPEL,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,501-600,OLD LIB,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,601-680,LT 3,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,400 PHS,PHS473,PUBLIC HEALTH ENTRPRENEURSHIP,750,681-END,EXT,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 PHS ,PHS236,NUTRITION IN PUBLIC HEALTH,410,HP - 001-130,SPT COM,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 PHS ,PHS236,NUTRITION IN PUBLIC HEALTH,410,HP - 131-END,EXT 2,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 PHS ,PHS236,NUTRITION IN PUBLIC HEALTH,410,NT – 001 -END,OLD LAB,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 PHS ,PHS236,NUTRITION IN PUBLIC HEALTH,410,DC – 001-END,LBFF,FEHE,PHE,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 NRM,NRM231  ,BIOMETRY ,110,001-END  ,LBSF,FAE,,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 ABM,AGB236   ,TECHNOLOGIES FOR AGRO- PROCESSING AND VALUE  ADDITION,47,001-END  ,LBA,FAE,,
"THURSDAY, APRIL 9, 2026",07:00-09:00,200 ATI ,ATI231   ,APPLICATIONS OF COMPUTER AIDED DESIGN ,19,001-END  ,LBA TOP,FAE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,001-100,NLB 1,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,101-200,NLB 2,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,201-300,NLB 3,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,301-400,NLB 4,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,401-500,CHAPEL,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,501-600,OLD LIB,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,601-700,LBFF ,FEHE,,
"THURSDAY, APRIL 9, 2026",10:00–12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,701-800,LBSF ,FEHE,,
