DAY & DATE,TIME,LEVEL ,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG,,,,,,
"Tuesday, April 7, 2026",07:00-09:00,100EHS,EHP 111,HUMAN AND THE ENVIRONMENT,125,001-END,SLT HSE ,FEHE,DEHSE,,,, ,,,
"Tuesday, April 7, 2026",07:00-09:00,300EHS,EHP 354,DRINKING WATER TREATMENT,78,001-END,LT3,FEHE,DEHSE,,,,,,,
"Tuesday, April 7, 2026",07:00-09:00,100 OHS,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,230,001-130,SPTS COM,FEHE,PHE,,,,,, ,
"Tuesday, April 7, 2026",07:00-09:00,101 OHS,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,231,131-END,OLD LAB,FEHE,PHE,,,,, ,,
"Tuesday, April 7, 2026",07:00-09:00,100PHS ,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,126,HP 001-100,NLB 1,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",07:00-09:00,100PHS ,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,125,DC 001-100,NLB 2 ,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",07:00-09:00,100PHS ,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,121,N 001 - 100 ,NLB 3 ,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",07:00-09:00,100PHS ,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,26,HP 101-END,NLB 4,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",07:00-09:00,100PHS ,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,25,DC101-END,NLB 4,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",07:00-09:00,100PHS ,PHS 111M,HUMAN ANATOMY & PHYSIOLOGY,21,N 101- END,NLB 4,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",07:00-09:00,200EHS,EHP 235,MEAT SCIENCE AND ABATTOIR MGT,235,001-100,CHAPEL,FEHE,DEHSE,,,, ,,,
"Tuesday, April 7, 2026",07:00-09:00,200EHS,EHP 236,MEAT SCIENCE AND ABATTOIR MGT,236,101-END,EXT 1 & 2,FEHE,DEHSE,,,,, ,,
"Tuesday, April 7, 2026",07:00-09:00,200OHS,OHS 231,EVIRONMENTAL MANAGEMENT SYSTEMS,300,001-120,OLD LIB,FEHE,PHE,,,, ,,,
"Tuesday, April 7, 2026",07:00-09:00,200OHS,OHS 232,EVIRONMENTAL MANAGEMENT SYSTEMS,301,121-240,LBSF,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",07:00-09:00,200OHS,OHS 233,EVIRONMENTAL MANAGEMENT SYSTEMS,302,241-END,LBRR,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",07:00-09:00,400ABM,AGB 471,MANAGERIAL ECONOMICS,60,001-END,LBA,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",07:00-09:00,100AGR ,AGR 114,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,155,ALL,NLT,FEHE,,,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,760,001-120,NLB 1,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",10:00 -12:00,401 PHS,PHS 473,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,761,121-240,NLB 2,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",10:00 -12:00,402 PHS,PHS 474,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,762,241-360,,FEHE,PHE,,, ,,,,
"Tuesday, April 7, 2026",10:00 -12:00,403 PHS,PHS 475,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,763,361-480,NLB3,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,404 PHS,PHS 476,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,764,481-580,NLB 4,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,405 PHS,PHS 477,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,765,581-680,LBSF,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,406 PHS,PHS 478,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,766,,LBFF,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,407 PHS,PHS 479,ANATOMY & PHYSIOLOGY OF  FARM ANIMALS,767,681-END,LBA,FEHE,PHE, ,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,200 PHS,PHS 231 ,COMMUNITY HEALTH,410,HP - 001-140,SPTS COM,FEHE,PHE,,,,,, ,
"Tuesday, April 7, 2026",10:00 -12:00,200 PHS,PHS 231 ,COMMUNITY HEALTH,410,HP - 141-,GYM ,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,200 PHS,PHS 231 ,COMMUNITY HEALTH,410,END,,FEHE,PHE,,,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS & FINANCING,760,001-120,NLB 1,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS & FINANCING,760,121-240,NLB 2,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS & FINANCING,760,241-360,,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS & FINANCING,760,361-480,NLB3,FEHE,PHE,, ,,,,,
"Tuesday, April 7, 2026",10:00 -12:00,400 PHS,PHS 472,PUBLIC HEALTH ECONOMICS & FINANCING,760,481-580,NLB 4,FEHE,PHE,, ,,,,,
